State,UDISE State Code,Grade,Question Description,Average (%)
Dadra & Nagar Haveli,26,Grade 10,Know about the school reopening guidelines,99.54751
Dadra & Nagar Haveli,26,Grade 10,I learnt many things:,68
Dadra & Nagar Haveli,26,Grade 10,Experiences During Pandemic,66
Dadra & Nagar Haveli,26,Grade 10,Obstacles to learning in pandemic,33
Dadra & Nagar Haveli,26,Grade 10,No Digital Device at Home,32
Dadra & Nagar Haveli,26,Grade 10,Follow the Covid-19 hygiene protocols,86
Dadra & Nagar Haveli,26,Grade 10,"Experienced worry, anxiety and fear during pandemic",55
Dadra & Nagar Haveli,26,Grade 10,Happy being by myself at home,51
Dadra & Nagar Haveli,26,Grade 3,students like to go to school,94.04159784
Dadra & Nagar Haveli,26,Grade 3,students use home language as medium of instruction in the class,73.26426948
Dadra & Nagar Haveli,26,Grade 3,CWSN students get facilities from school,71.42281002
Dadra & Nagar Haveli,26,Grade 3,"students could understand, what teachers teach in the class",91.90081469
Dadra & Nagar Haveli,26,Grade 3,Students get parental support for their educational achievement,71.14946278
Dadra & Nagar Haveli,26,Grade 3,Teachers have adequate instructional material and supplies,50
Dadra & Nagar Haveli,26,Grade 3,Teachers have adequate work space,53.33333333
Dadra & Nagar Haveli,26,Grade 3,Teachers say that they are overloaded with the work,24.44444444
Dadra & Nagar Haveli,26,Grade 3,Teachers have responded that the school building needs major repair,13.33333333
Dadra & Nagar Haveli,26,Grade 3,Teachers have responded that there is lack of drinking water facilities in school,15.55555556
Dadra & Nagar Haveli,26,Grade 3,Teachers have responded that there are inadequate toilet facilities in school,10
Dadra & Nagar Haveli,26,Grade 3,Teachers participated in professional development program,75.29411765
Dadra & Nagar Haveli,26,Grade 3,Teachers have responded that the parents take interest in school activities,94.44444444
Dadra & Nagar Haveli,26,Grade 3,of schools have adequate qualified teaching staff,84.61538462
Dadra & Nagar Haveli,26,Grade 3,of schools have adequate supporting staff,63.10679612
Dadra & Nagar Haveli,26,Grade 3,of schools have adequate audio visual resources,62.5
Dadra & Nagar Haveli,26,Grade 3,of schools have adequate library resources,55.76923077
Dadra & Nagar Haveli,26,Grade 3,of schools participate in sports activities,100
Dadra & Nagar Haveli,26,Grade 3,Understand the protocols for COVID symptom reporting,100
Dadra & Nagar Haveli,26,Grade 3,Aware of the measures to be taken for wellbeing of the children and school staff,100
Dadra & Nagar Haveli,26,Grade 3,Know about the school reopening guidelines,94.44444444
Dadra & Nagar Haveli,26,Grade 3,I learnt many things:,61
Dadra & Nagar Haveli,26,Grade 3,Experiences During Pandemic,63
Dadra & Nagar Haveli,26,Grade 3,Obstacles to learning in pandemic,38
Dadra & Nagar Haveli,26,Grade 3,No Digital Device at Home,33
Dadra & Nagar Haveli,26,Grade 3,Follow the Covid-19 hygiene protocols,78
Dadra & Nagar Haveli,26,Grade 3,"Experienced worry, anxiety and fear during pandemic",43
Dadra & Nagar Haveli,26,Grade 3,Happy being by myself at home,42
Dadra & Nagar Haveli,26,Grade 5,students like to go to school,94.82934499
Dadra & Nagar Haveli,26,Grade 5,students use home language as medium of instruction in the class,75.5081562
Dadra & Nagar Haveli,26,Grade 5,CWSN students get facilities from school,64.88875021
Dadra & Nagar Haveli,26,Grade 5,"students could understand, what teachers teach in the class",90.78240193
Dadra & Nagar Haveli,26,Grade 5,Students get parental support for their educational achievement,66.06321048
Dadra & Nagar Haveli,26,Grade 5,Teachers have adequate instructional material and supplies,55.26315789
Dadra & Nagar Haveli,26,Grade 5,Teachers have adequate work space,48.68421053
Dadra & Nagar Haveli,26,Grade 5,Teachers say that they are overloaded with the work,22.36842105
Dadra & Nagar Haveli,26,Grade 5,Teachers have responded that the school building needs major repair,16
Dadra & Nagar Haveli,26,Grade 5,Teachers have responded that there is lack of drinking water facilities in school,9.333333333
Dadra & Nagar Haveli,26,Grade 5,Teachers have responded that there are inadequate toilet facilities in school,9.210526316
Dadra & Nagar Haveli,26,Grade 5,Teachers participated in professional development program,81.57894737
Dadra & Nagar Haveli,26,Grade 5,Teachers have responded that the parents take interest in school activities,90.78947368
Dadra & Nagar Haveli,26,Grade 5,of schools have adequate qualified teaching staff,84.61538462
Dadra & Nagar Haveli,26,Grade 5,of schools have adequate supporting staff,63.10679612
Dadra & Nagar Haveli,26,Grade 5,of schools have adequate audio visual resources,62.5
Dadra & Nagar Haveli,26,Grade 5,of schools have adequate library resources,55.76923077
Dadra & Nagar Haveli,26,Grade 5,of schools participate in sports activities,100
Dadra & Nagar Haveli,26,Grade 5,Understand the protocols for COVID symptom reporting,100
Dadra & Nagar Haveli,26,Grade 5,Aware of the measures to be taken for wellbeing of the children and school staff,98.68421053
Dadra & Nagar Haveli,26,Grade 5,Know about the school reopening guidelines,96.05263158
Dadra & Nagar Haveli,26,Grade 5,I learnt many things:,62
Dadra & Nagar Haveli,26,Grade 5,Experiences During Pandemic,57
Dadra & Nagar Haveli,26,Grade 5,Obstacles to learning in pandemic,42
Dadra & Nagar Haveli,26,Grade 5,No Digital Device at Home,38
Dadra & Nagar Haveli,26,Grade 5,Follow the Covid-19 hygiene protocols,75
Dadra & Nagar Haveli,26,Grade 5,"Experienced worry, anxiety and fear during pandemic",47
Dadra & Nagar Haveli,26,Grade 5,Happy being by myself at home,42
Dadra & Nagar Haveli,26,Grade 8,students like to go to school,97.89812339
Dadra & Nagar Haveli,26,Grade 8,students use home language as medium of instruction in the class,55.99229248
Dadra & Nagar Haveli,26,Grade 8,CWSN students get facilities from school,80.42301327
Dadra & Nagar Haveli,26,Grade 8,"students could understand, what teachers teach in the class",96.39824341
Dadra & Nagar Haveli,26,Grade 8,Students get parental support for their educational achievement,83.69416064
Dadra & Nagar Haveli,26,Grade 8,Teachers have adequate instructional material and supplies,45.25862069
Dadra & Nagar Haveli,26,Grade 8,Teachers have adequate work space,63.94849785
Dadra & Nagar Haveli,26,Grade 8,Teachers say that they are overloaded with the work,23.17596567
Dadra & Nagar Haveli,26,Grade 8,Teachers have responded that the school building needs major repair,14.16309013
Dadra & Nagar Haveli,26,Grade 8,Teachers have responded that there is lack of drinking water facilities in school,7.296137339
Dadra & Nagar Haveli,26,Grade 8,Teachers have responded that there are inadequate toilet facilities in school,6.43776824
Dadra & Nagar Haveli,26,Grade 8,Teachers participated in professional development program,78.44827586
Dadra & Nagar Haveli,26,Grade 8,Teachers have responded that the parents take interest in school activities,93.13304721
Dadra & Nagar Haveli,26,Grade 8,of schools have adequate qualified teaching staff,84.61538462
Dadra & Nagar Haveli,26,Grade 8,of schools have adequate supporting staff,63.10679612
Dadra & Nagar Haveli,26,Grade 8,of schools have adequate audio visual resources,62.5
Dadra & Nagar Haveli,26,Grade 8,of schools have adequate library resources,55.76923077
Dadra & Nagar Haveli,26,Grade 8,of schools participate in sports activities,100
Dadra & Nagar Haveli,26,Grade 8,Understand the protocols for COVID symptom reporting,99.57081545
Dadra & Nagar Haveli,26,Grade 8,Aware of the measures to be taken for wellbeing of the children and school staff,98.71244635
Dadra & Nagar Haveli,26,Grade 8,Know about the school reopening guidelines,98.71244635
Dadra & Nagar Haveli,26,Grade 8,I learnt many things:,35.29233326
Dadra & Nagar Haveli,26,Grade 8,Experiences During Pandemic,68.50616879
Dadra & Nagar Haveli,26,Grade 8,Obstacles to learning in pandemic,97.30728159
Dadra & Nagar Haveli,26,Grade 8,No Digital Device at Home,57.87365371
Dadra & Nagar Haveli,26,Grade 8,Follow the Covid-19 hygiene protocols,84.1149709
Dadra & Nagar Haveli,26,Grade 8,"Experienced worry, anxiety and fear during pandemic",95.59215722
Dadra & Nagar Haveli,26,Grade 8,Happy being by myself at home,81.24028476
Daman & Diu,25,Grade 10,students like to go to school,98.72479
Daman & Diu,25,Grade 10,students use home language as medium of instruction in the class,71.95815
Daman & Diu,25,Grade 10,CWSN students get facilities from school,86.998474
Daman & Diu,25,Grade 10,"students could understand, what teachers teach in the class",98.61468
Daman & Diu,25,Grade 10,Students get parental support for their educational achievement,90.295364
Daman & Diu,25,Grade 10,Teachers have adequate instructional material and supplies,56.73077
Daman & Diu,25,Grade 10,Teachers have adequate work space,66.82692
Daman & Diu,25,Grade 10,Teachers say that they are overloaded with the work,31.73077
Daman & Diu,25,Grade 10,Teachers have responded that the school building needs major repair,15.865385
Daman & Diu,25,Grade 10,Teachers have responded that there is lack of drinking water facilities in school,8.212561
Daman & Diu,25,Grade 10,Teachers have responded that there are inadequate toilet facilities in school,5.769231
Daman & Diu,25,Grade 10,Teachers participated in professional development program,65.86539
Daman & Diu,25,Grade 10,Teachers have responded that the parents take interest in school activities,94.25837
Daman & Diu,25,Grade 10,of schools have adequate qualified teaching staff,87.38739
Daman & Diu,25,Grade 10,of schools have adequate supporting staff,67.567566
Daman & Diu,25,Grade 10,of schools have adequate audio visual resources,84.684685
Daman & Diu,25,Grade 10,of schools have adequate library resources,73.87387
Daman & Diu,25,Grade 10,of schools participate in sports activities,99.0991
Daman & Diu,25,Grade 10,Understand the protocols for COVID symptom reporting,99.51691
Daman & Diu,25,Grade 10,Aware of the measures to be taken for wellbeing of the children and school staff,99.51691
Daman & Diu,25,Grade 10,Know about the school reopening guidelines,99.51691
Daman & Diu,25,Grade 10,I learnt many things:,75
Daman & Diu,25,Grade 10,Experiences During Pandemic,70
Daman & Diu,25,Grade 10,Obstacles to learning in pandemic,31
Daman & Diu,25,Grade 10,No Digital Device at Home,30
Daman & Diu,25,Grade 10,Follow the Covid-19 hygiene protocols,95
Daman & Diu,25,Grade 10,"Experienced worry, anxiety and fear during pandemic",56
Daman & Diu,25,Grade 10,Happy being by myself at home,58
Daman & Diu,25,Grade 3,students like to go to school,94.79735554
Daman & Diu,25,Grade 3,students use home language as medium of instruction in the class,83.46707485
Daman & Diu,25,Grade 3,CWSN students get facilities from school,83.43618423
Daman & Diu,25,Grade 3,"students could understand, what teachers teach in the class",88.181317
Daman & Diu,25,Grade 3,Students get parental support for their educational achievement,86.52488166
Daman & Diu,25,Grade 3,Teachers have adequate instructional material and supplies,42.85714286
Daman & Diu,25,Grade 3,Teachers have adequate work space,59.18367347
Daman & Diu,25,Grade 3,Teachers say that they are overloaded with the work,31.63265306
Daman & Diu,25,Grade 3,Teachers have responded that the school building needs major repair,27.55102041
Daman & Diu,25,Grade 3,Teachers have responded that there is lack of drinking water facilities in school,15.30612245
Daman & Diu,25,Grade 3,Teachers have responded that there are inadequate toilet facilities in school,9.183673469
Daman & Diu,25,Grade 3,Teachers participated in professional development program,70.10309278
Daman & Diu,25,Grade 3,Teachers have responded that the parents take interest in school activities,92.85714286
Daman & Diu,25,Grade 3,of schools have adequate qualified teaching staff,87.38738739
Daman & Diu,25,Grade 3,of schools have adequate supporting staff,67.56756757
Daman & Diu,25,Grade 3,of schools have adequate audio visual resources,84.68468468
Daman & Diu,25,Grade 3,of schools have adequate library resources,73.87387387
Daman & Diu,25,Grade 3,of schools participate in sports activities,99.0990991
Daman & Diu,25,Grade 3,Understand the protocols for COVID symptom reporting,97.95918367
Daman & Diu,25,Grade 3,Aware of the measures to be taken for wellbeing of the children and school staff,95.91836735
Daman & Diu,25,Grade 3,Know about the school reopening guidelines,98.97959184
Daman & Diu,25,Grade 3,I learnt many things:,65
Daman & Diu,25,Grade 3,Experiences During Pandemic,62
Daman & Diu,25,Grade 3,Obstacles to learning in pandemic,43
Daman & Diu,25,Grade 3,No Digital Device at Home,42
Daman & Diu,25,Grade 3,Follow the Covid-19 hygiene protocols,86
Daman & Diu,25,Grade 3,"Experienced worry, anxiety and fear during pandemic",51
Daman & Diu,25,Grade 3,Happy being by myself at home,56
Daman & Diu,25,Grade 5,students like to go to school,95.68505511
Daman & Diu,25,Grade 5,students use home language as medium of instruction in the class,71.45953063
Daman & Diu,25,Grade 5,CWSN students get facilities from school,88.56256045
Daman & Diu,25,Grade 5,"students could understand, what teachers teach in the class",94.02653514
Daman & Diu,25,Grade 5,Students get parental support for their educational achievement,89.59174426
Daman & Diu,25,Grade 5,Teachers have adequate instructional material and supplies,51.64835165
Daman & Diu,25,Grade 5,Teachers have adequate work space,70.32967033
Daman & Diu,25,Grade 5,Teachers say that they are overloaded with the work,34.06593407
Daman & Diu,25,Grade 5,Teachers have responded that the school building needs major repair,18.88888889
Daman & Diu,25,Grade 5,Teachers have responded that there is lack of drinking water facilities in school,12.08791209
Daman & Diu,25,Grade 5,Teachers have responded that there are inadequate toilet facilities in school,7.692307692
Daman & Diu,25,Grade 5,Teachers participated in professional development program,76.66666667
Daman & Diu,25,Grade 5,Teachers have responded that the parents take interest in school activities,92.30769231
Daman & Diu,25,Grade 5,of schools have adequate qualified teaching staff,87.38738739
Daman & Diu,25,Grade 5,of schools have adequate supporting staff,67.56756757
Daman & Diu,25,Grade 5,of schools have adequate audio visual resources,84.68468468
Daman & Diu,25,Grade 5,of schools have adequate library resources,73.87387387
Daman & Diu,25,Grade 5,of schools participate in sports activities,99.0990991
Daman & Diu,25,Grade 5,Understand the protocols for COVID symptom reporting,100
Daman & Diu,25,Grade 5,Aware of the measures to be taken for wellbeing of the children and school staff,98.9010989
Daman & Diu,25,Grade 5,Know about the school reopening guidelines,100
Daman & Diu,25,Grade 5,I learnt many things:,71
Daman & Diu,25,Grade 5,Experiences During Pandemic,70
Daman & Diu,25,Grade 5,Obstacles to learning in pandemic,31
Daman & Diu,25,Grade 5,No Digital Device at Home,27
Daman & Diu,25,Grade 5,Follow the Covid-19 hygiene protocols,87
Daman & Diu,25,Grade 5,"Experienced worry, anxiety and fear during pandemic",53
Daman & Diu,25,Grade 5,Happy being by myself at home,48
Daman & Diu,25,Grade 8,students like to go to school,97.34898332
Daman & Diu,25,Grade 8,students use home language as medium of instruction in the class,73.4025447
Daman & Diu,25,Grade 8,CWSN students get facilities from school,83.18317029
Daman & Diu,25,Grade 8,"students could understand, what teachers teach in the class",97.20808064
Daman & Diu,25,Grade 8,Students get parental support for their educational achievement,81.98459296
Daman & Diu,25,Grade 8,Teachers have adequate instructional material and supplies,52.67857143
Daman & Diu,25,Grade 8,Teachers have adequate work space,73.77777778
Daman & Diu,25,Grade 8,Teachers say that they are overloaded with the work,33.18584071
Daman & Diu,25,Grade 8,Teachers have responded that the school building needs major repair,14.60176991
Daman & Diu,25,Grade 8,Teachers have responded that there is lack of drinking water facilities in school,12.38938053
Daman & Diu,25,Grade 8,Teachers have responded that there are inadequate toilet facilities in school,11.0619469
Daman & Diu,25,Grade 8,Teachers participated in professional development program,73.00884956
Daman & Diu,25,Grade 8,Teachers have responded that the parents take interest in school activities,88.49557522
Daman & Diu,25,Grade 8,of schools have adequate qualified teaching staff,87.38738739
Daman & Diu,25,Grade 8,of schools have adequate supporting staff,67.56756757
Daman & Diu,25,Grade 8,of schools have adequate audio visual resources,84.68468468
Daman & Diu,25,Grade 8,of schools have adequate library resources,73.87387387
Daman & Diu,25,Grade 8,of schools participate in sports activities,99.0990991
Daman & Diu,25,Grade 8,Understand the protocols for COVID symptom reporting,99.55752212
Daman & Diu,25,Grade 8,Aware of the measures to be taken for wellbeing of the children and school staff,99.55752212
Daman & Diu,25,Grade 8,Know about the school reopening guidelines,99.55752212
Daman & Diu,25,Grade 8,I learnt many things:,34.85283175
Daman & Diu,25,Grade 8,Experiences During Pandemic,63.05097702
Daman & Diu,25,Grade 8,Obstacles to learning in pandemic,97.17826579
Daman & Diu,25,Grade 8,No Digital Device at Home,68.19732659
Daman & Diu,25,Grade 8,Follow the Covid-19 hygiene protocols,82.15022077
Daman & Diu,25,Grade 8,"Experienced worry, anxiety and fear during pandemic",97.89949883
Daman & Diu,25,Grade 8,Happy being by myself at home,80.87098644
Delhi,7,Grade 10,students like to go to school,97.71285
Delhi,7,Grade 10,students use home language as medium of instruction in the class,84.28429
Delhi,7,Grade 10,CWSN students get facilities from school,80.27528
Delhi,7,Grade 10,"students could understand, what teachers teach in the class",98.12794
Delhi,7,Grade 10,Students get parental support for their educational achievement,84.152336
Delhi,7,Grade 10,Teachers have adequate instructional material and supplies,61.172512
Delhi,7,Grade 10,Teachers have adequate work space,67.08224
Delhi,7,Grade 10,Teachers say that they are overloaded with the work,29.008184
Delhi,7,Grade 10,Teachers have responded that the school building needs major repair,10.076776
Delhi,7,Grade 10,Teachers have responded that there is lack of drinking water facilities in school,5.715658
Delhi,7,Grade 10,Teachers have responded that there are inadequate toilet facilities in school,6.1239195
Delhi,7,Grade 10,Teachers participated in professional development program,81.56182
Delhi,7,Grade 10,Teachers have responded that the parents take interest in school activities,91.77063
Delhi,7,Grade 10,of schools have adequate qualified teaching staff,92.16792
Delhi,7,Grade 10,of schools have adequate supporting staff,71.88478
Delhi,7,Grade 10,of schools have adequate audio visual resources,70.6399
Delhi,7,Grade 10,of schools have adequate library resources,81.25
Delhi,7,Grade 10,of schools participate in sports activities,98.43848
Delhi,7,Grade 10,Understand the protocols for COVID symptom reporting,99.59252
Delhi,7,Grade 10,Aware of the measures to be taken for wellbeing of the children and school staff,99.35268
Delhi,7,Grade 10,Know about the school reopening guidelines,99.42446
Delhi,7,Grade 10,I learnt many things:,67
Delhi,7,Grade 10,Experiences During Pandemic,71
Delhi,7,Grade 10,Obstacles to learning in pandemic,24
Delhi,7,Grade 10,No Digital Device at Home,22
Delhi,7,Grade 10,Follow the Covid-19 hygiene protocols,92
Delhi,7,Grade 10,"Experienced worry, anxiety and fear during pandemic",46
Delhi,7,Grade 10,Happy being by myself at home,55
Delhi,7,Grade 3,students like to go to school,96.33758735
Delhi,7,Grade 3,students use home language as medium of instruction in the class,87.97636708
Delhi,7,Grade 3,CWSN students get facilities from school,70.95763256
Delhi,7,Grade 3,"students could understand, what teachers teach in the class",95.01523457
Delhi,7,Grade 3,Students get parental support for their educational achievement,73.22494274
Delhi,7,Grade 3,Teachers have adequate instructional material and supplies,48.47122302
Delhi,7,Grade 3,Teachers have adequate work space,64.01446655
Delhi,7,Grade 3,Teachers say that they are overloaded with the work,31.59315932
Delhi,7,Grade 3,Teachers have responded that the school building needs major repair,16.54611212
Delhi,7,Grade 3,Teachers have responded that there is lack of drinking water facilities in school,11.55234657
Delhi,7,Grade 3,Teachers have responded that there are inadequate toilet facilities in school,11.09107304
Delhi,7,Grade 3,Teachers participated in professional development program,72.93369664
Delhi,7,Grade 3,Teachers have responded that the parents take interest in school activities,92.00359389
Delhi,7,Grade 3,of schools have adequate qualified teaching staff,92.1679198
Delhi,7,Grade 3,of schools have adequate supporting staff,71.88478397
Delhi,7,Grade 3,of schools have adequate audio visual resources,70.63989962
Delhi,7,Grade 3,of schools have adequate library resources,81.25
Delhi,7,Grade 3,of schools participate in sports activities,98.43847595
Delhi,7,Grade 3,Understand the protocols for COVID symptom reporting,98.82246377
Delhi,7,Grade 3,Aware of the measures to be taken for wellbeing of the children and school staff,98.37837838
Delhi,7,Grade 3,Know about the school reopening guidelines,99.18845807
Delhi,7,Grade 3,I learnt many things:,63
Delhi,7,Grade 3,Experiences During Pandemic,61
Delhi,7,Grade 3,Obstacles to learning in pandemic,36
Delhi,7,Grade 3,No Digital Device at Home,34
Delhi,7,Grade 3,Follow the Covid-19 hygiene protocols,82
Delhi,7,Grade 3,"Experienced worry, anxiety and fear during pandemic",43
Delhi,7,Grade 3,Happy being by myself at home,46
Delhi,7,Grade 5,students like to go to school,96.26394701
Delhi,7,Grade 5,students use home language as medium of instruction in the class,85.56790176
Delhi,7,Grade 5,CWSN students get facilities from school,75.1926072
Delhi,7,Grade 5,"students could understand, what teachers teach in the class",95.38728268
Delhi,7,Grade 5,Students get parental support for their educational achievement,83.07026643
Delhi,7,Grade 5,Teachers have adequate instructional material and supplies,52.13523132
Delhi,7,Grade 5,Teachers have adequate work space,61.20996441
Delhi,7,Grade 5,Teachers say that they are overloaded with the work,29.63620231
Delhi,7,Grade 5,Teachers have responded that the school building needs major repair,17.24444444
Delhi,7,Grade 5,Teachers have responded that there is lack of drinking water facilities in school,9.714795009
Delhi,7,Grade 5,Teachers have responded that there are inadequate toilet facilities in school,10.47957371
Delhi,7,Grade 5,Teachers participated in professional development program,69.89247312
Delhi,7,Grade 5,Teachers have responded that the parents take interest in school activities,93.52262644
Delhi,7,Grade 5,of schools have adequate qualified teaching staff,92.1679198
Delhi,7,Grade 5,of schools have adequate supporting staff,71.88478397
Delhi,7,Grade 5,of schools have adequate audio visual resources,70.63989962
Delhi,7,Grade 5,of schools have adequate library resources,81.25
Delhi,7,Grade 5,of schools participate in sports activities,98.43847595
Delhi,7,Grade 5,Understand the protocols for COVID symptom reporting,98.84547069
Delhi,7,Grade 5,Aware of the measures to be taken for wellbeing of the children and school staff,98.6678508
Delhi,7,Grade 5,Know about the school reopening guidelines,98.84649512
Delhi,7,Grade 5,I learnt many things:,68
Delhi,7,Grade 5,Experiences During Pandemic,68
Delhi,7,Grade 5,Obstacles to learning in pandemic,37
Delhi,7,Grade 5,No Digital Device at Home,36
Delhi,7,Grade 5,Follow the Covid-19 hygiene protocols,84
Delhi,7,Grade 5,"Experienced worry, anxiety and fear during pandemic",45
Delhi,7,Grade 5,Happy being by myself at home,44
Delhi,7,Grade 8,students like to go to school,97.72882199
Delhi,7,Grade 8,students use home language as medium of instruction in the class,81.82926472
Delhi,7,Grade 8,CWSN students get facilities from school,77.15144305
Delhi,7,Grade 8,"students could understand, what teachers teach in the class",96.60431171
Delhi,7,Grade 8,Students get parental support for their educational achievement,82.60918622
Delhi,7,Grade 8,Teachers have adequate instructional material and supplies,56.68855859
Delhi,7,Grade 8,Teachers have adequate work space,64.38687392
Delhi,7,Grade 8,Teachers say that they are overloaded with the work,30.64182195
Delhi,7,Grade 8,Teachers have responded that the school building needs major repair,12.19343696
Delhi,7,Grade 8,Teachers have responded that there is lack of drinking water facilities in school,7.172413793
Delhi,7,Grade 8,Teachers have responded that there are inadequate toilet facilities in school,7.137931034
Delhi,7,Grade 8,Teachers participated in professional development program,74.69670711
Delhi,7,Grade 8,Teachers have responded that the parents take interest in school activities,91.86487418
Delhi,7,Grade 8,of schools have adequate qualified teaching staff,92.1679198
Delhi,7,Grade 8,of schools have adequate supporting staff,71.88478397
Delhi,7,Grade 8,of schools have adequate audio visual resources,70.63989962
Delhi,7,Grade 8,of schools have adequate library resources,81.25
Delhi,7,Grade 8,of schools participate in sports activities,98.43847595
Delhi,7,Grade 8,Understand the protocols for COVID symptom reporting,99.44903581
Delhi,7,Grade 8,Aware of the measures to be taken for wellbeing of the children and school staff,99.58663452
Delhi,7,Grade 8,Know about the school reopening guidelines,99.37823834
Delhi,7,Grade 8,I learnt many things:,34.93823
Delhi,7,Grade 8,Experiences During Pandemic,65.4843103
Delhi,7,Grade 8,Obstacles to learning in pandemic,97.70598583
Delhi,7,Grade 8,No Digital Device at Home,81.89523998
Delhi,7,Grade 8,Follow the Covid-19 hygiene protocols,77.86565095
Delhi,7,Grade 8,"Experienced worry, anxiety and fear during pandemic",96.62412221
Delhi,7,Grade 8,Happy being by myself at home,83.1388533
Goa,30,Grade 10,students like to go to school,96.35698
Goa,30,Grade 10,students use home language as medium of instruction in the class,76.32453
Goa,30,Grade 10,CWSN students get facilities from school,88.80218
Goa,30,Grade 10,"students could understand, what teachers teach in the class",98.01278
Goa,30,Grade 10,Students get parental support for their educational achievement,80.29971
Goa,30,Grade 10,Teachers have adequate instructional material and supplies,44.271843
Goa,30,Grade 10,Teachers have adequate work space,60.465115
Goa,30,Grade 10,Teachers say that they are overloaded with the work,35.465115
Goa,30,Grade 10,Teachers have responded that the school building needs major repair,15.891473
Goa,30,Grade 10,Teachers have responded that there is lack of drinking water facilities in school,11.24031
Goa,30,Grade 10,Teachers have responded that there are inadequate toilet facilities in school,9.708738
Goa,30,Grade 10,Teachers participated in professional development program,82.44576
Goa,30,Grade 10,Teachers have responded that the parents take interest in school activities,90.69768
Goa,30,Grade 10,of schools have adequate qualified teaching staff,92.47312
Goa,30,Grade 10,of schools have adequate supporting staff,73.83513
Goa,30,Grade 10,of schools have adequate audio visual resources,54.121864
Goa,30,Grade 10,of schools have adequate library resources,69.03915
Goa,30,Grade 10,of schools participate in sports activities,100
Goa,30,Grade 10,Understand the protocols for COVID symptom reporting,97.48062
Goa,30,Grade 10,Aware of the measures to be taken for wellbeing of the children and school staff,97.864075
Goa,30,Grade 10,Know about the school reopening guidelines,95.53398
Goa,30,Grade 10,I learnt many things:,68
Goa,30,Grade 10,Experiences During Pandemic,65
Goa,30,Grade 10,Obstacles to learning in pandemic,19
Goa,30,Grade 10,No Digital Device at Home,15
Goa,30,Grade 10,Follow the Covid-19 hygiene protocols,93
Goa,30,Grade 10,"Experienced worry, anxiety and fear during pandemic",38
Goa,30,Grade 10,Happy being by myself at home,51
Goa,30,Grade 3,students like to go to school,98.07027696
Goa,30,Grade 3,students use home language as medium of instruction in the class,82.2590541
Goa,30,Grade 3,CWSN students get facilities from school,88.74416607
Goa,30,Grade 3,"students could understand, what teachers teach in the class",96.94999091
Goa,30,Grade 3,Students get parental support for their educational achievement,87.20334917
Goa,30,Grade 3,Teachers have adequate instructional material and supplies,45.13274336
Goa,30,Grade 3,Teachers have adequate work space,59.82142857
Goa,30,Grade 3,Teachers say that they are overloaded with the work,29.59641256
Goa,30,Grade 3,Teachers have responded that the school building needs major repair,21.33333333
Goa,30,Grade 3,Teachers have responded that there is lack of drinking water facilities in school,2.654867257
Goa,30,Grade 3,Teachers have responded that there are inadequate toilet facilities in school,4.464285714
Goa,30,Grade 3,Teachers participated in professional development program,78.85462555
Goa,30,Grade 3,Teachers have responded that the parents take interest in school activities,91.15044248
Goa,30,Grade 3,of schools have adequate qualified teaching staff,92.47311828
Goa,30,Grade 3,of schools have adequate supporting staff,73.83512545
Goa,30,Grade 3,of schools have adequate audio visual resources,54.1218638
Goa,30,Grade 3,of schools have adequate library resources,69.03914591
Goa,30,Grade 3,of schools participate in sports activities,100
Goa,30,Grade 3,Understand the protocols for COVID symptom reporting,96.01769912
Goa,30,Grade 3,Aware of the measures to be taken for wellbeing of the children and school staff,97.76785714
Goa,30,Grade 3,Know about the school reopening guidelines,65.33333333
Goa,30,Grade 3,I learnt many things:,63
Goa,30,Grade 3,Experiences During Pandemic,57
Goa,30,Grade 3,Obstacles to learning in pandemic,25
Goa,30,Grade 3,No Digital Device at Home,25
Goa,30,Grade 3,Follow the Covid-19 hygiene protocols,83
Goa,30,Grade 3,"Experienced worry, anxiety and fear during pandemic",37
Goa,30,Grade 3,Happy being by myself at home,34
Goa,30,Grade 5,students like to go to school,98.15834412
Goa,30,Grade 5,students use home language as medium of instruction in the class,74.32677866
Goa,30,Grade 5,CWSN students get facilities from school,82.46394176
Goa,30,Grade 5,"students could understand, what teachers teach in the class",96.39239758
Goa,30,Grade 5,Students get parental support for their educational achievement,72.24134955
Goa,30,Grade 5,Teachers have adequate instructional material and supplies,50.89820359
Goa,30,Grade 5,Teachers have adequate work space,66.46706587
Goa,30,Grade 5,Teachers say that they are overloaded with the work,26.82926829
Goa,30,Grade 5,Teachers have responded that the school building needs major repair,12.04819277
Goa,30,Grade 5,Teachers have responded that there is lack of drinking water facilities in school,7.784431138
Goa,30,Grade 5,Teachers have responded that there are inadequate toilet facilities in school,10.77844311
Goa,30,Grade 5,Teachers participated in professional development program,70.65868263
Goa,30,Grade 5,Teachers have responded that the parents take interest in school activities,92.81437126
Goa,30,Grade 5,of schools have adequate qualified teaching staff,92.47311828
Goa,30,Grade 5,of schools have adequate supporting staff,73.83512545
Goa,30,Grade 5,of schools have adequate audio visual resources,54.1218638
Goa,30,Grade 5,of schools have adequate library resources,69.03914591
Goa,30,Grade 5,of schools participate in sports activities,100
Goa,30,Grade 5,Understand the protocols for COVID symptom reporting,95.78313253
Goa,30,Grade 5,Aware of the measures to be taken for wellbeing of the children and school staff,98.18181818
Goa,30,Grade 5,Know about the school reopening guidelines,87.34939759
Goa,30,Grade 5,I learnt many things:,66
